City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Chokurdakh,RU,2022-08-11 03:08:57,70.6333,147.9167,72.1,42,100,9.46,overcast clouds
52,Cedar City,US,2022-08-11 03:11:13,37.6775,-113.0619,70.77,68,0,4.61,clear sky
53,Srednekolymsk,RU,2022-08-11 03:11:13,67.45,153.6833,78.12,43,100,2.1,overcast clouds
54,Ambunti,PG,2022-08-11 03:11:13,-4.2365,142.8448,91.62,52,98,1.99,overcast clouds
55,Barrow,US,2022-08-11 03:11:14,71.2906,-156.7887,46.42,93,100,18.41,light rain
56,Bredasdorp,ZA,2022-08-11 03:08:06,-34.5322,20.0403,53.19,93,100,3.91,overcast clouds
57,Derzhavinsk,KZ,2022-08-11 03:11:15,51.1,66.3167,69.42,58,3,12.19,clear sky
58,Gasa,PS,2022-08-11 03:11:15,31.5,34.4667,72.88,77,0,1.77,clear sky
59,Hermanus,ZA,2022-08-11 03:11:15,-34.4187,19.2345,48.79,89,96,7.52,overcast clouds
60,Bereda,ES,2022-08-11 03:11:16,43.2686,-7.5406,61.14,100,36,1.7,scattered clouds
61,Castro,BR,2022-08-11 03:11:16,-24.7911,-50.0119,46.62,93,99,4.76,overcast clouds
62,Onega,RU,2022-08-11 03:11:16,63.9061,38.1404,59.04,69,97,10.09,overcast clouds
63,Longyearbyen,SJ,2022-08-11 03:11:17,78.2186,15.6401,48.04,71,75,17.27,broken clouds
64,Kaitangata,NZ,2022-08-11 03:11:18,-46.2817,169.8464,44.74,59,24,6.73,few clouds
65,Kaduqli,SD,2022-08-11 03:11:19,11.0167,29.7167,72.07,94,71,4.41,broken clouds
66,Vaini,TO,2022-08-11 03:11:20,-21.2,-175.2,78.96,94,100,17.27,overcast clouds
67,Lagoa,PT,2022-08-11 03:11:20,39.05,-27.9833,70.5,74,7,5.95,clear sky
68,Palana,RU,2022-08-11 03:11:21,59.1167,159.9667,51.58,94,100,5.82,light rain
69,Copiapo,CL,2022-08-11 03:09:16,-27.3667,-70.3333,47.89,43,100,0.98,overcast clouds
70,Lata,PT,2022-08-11 03:11:21,40.1629,-8.3327,60.75,96,1,1.88,clear sky
71,Vyazemskiy,RU,2022-08-11 03:11:22,47.5378,134.7525,74.1,53,8,8.97,clear sky
72,Tuktoyaktuk,CA,2022-08-11 03:11:22,69.4541,-133.0374,46.53,84,100,13.27,light rain
73,Sorland,NO,2022-08-11 03:11:23,67.667,12.6934,53.46,84,54,33.98,broken clouds
74,East London,ZA,2022-08-11 03:11:23,-33.0153,27.9116,60.26,82,89,3.44,overcast clouds
75,Mogadishu,SO,2022-08-11 03:11:24,2.0371,45.3438,75.56,85,73,17.56,light rain
76,Talara,PE,2022-08-11 03:11:24,-4.5772,-81.2719,62.4,89,99,14.16,overcast clouds
77,Luderitz,NA,2022-08-11 03:11:24,-26.6481,15.1594,54.68,66,3,10.74,clear sky
78,Dingle,PH,2022-08-11 03:11:25,10.9995,122.6711,85.41,73,66,5.39,broken clouds
79,New Norfolk,AU,2022-08-11 03:09:22,-42.7826,147.0587,55.92,57,99,4.52,light rain
80,Broken Hill,AU,2022-08-11 03:11:25,-31.95,141.4333,60.4,46,100,21.7,overcast clouds
81,Gualaquiza,EC,2022-08-11 03:11:25,-3.4,-78.55,60.26,96,100,2.37,light rain
82,Nasice,HR,2022-08-11 03:11:26,45.4886,18.0878,58.75,89,10,2.89,clear sky
83,Lashio,MM,2022-08-11 03:08:08,22.9333,97.75,79.12,70,50,1.95,scattered clouds
84,Port Elizabeth,ZA,2022-08-11 03:11:27,-33.918,25.5701,53.31,94,93,3.0,overcast clouds
85,Abu Zabad,SD,2022-08-11 03:11:27,12.35,29.25,74.59,83,82,6.49,broken clouds
86,Worland,US,2022-08-11 03:11:27,44.0169,-107.9554,88.88,19,0,5.75,clear sky
87,Khatanga,RU,2022-08-11 03:11:27,71.9667,102.5,46.13,67,100,13.15,overcast clouds
88,Bilma,NE,2022-08-11 03:12:28,18.6853,12.9164,93.96,13,68,21.52,broken clouds
89,Tazovskiy,RU,2022-08-11 03:12:29,67.4667,78.7,48.47,86,100,9.89,overcast clouds
90,Chavantes,BR,2022-08-11 03:12:29,-23.0389,-49.7094,52.02,83,100,2.68,overcast clouds
91,Capaci,IT,2022-08-11 03:12:29,38.1711,13.2393,78.26,35,0,3.44,clear sky
92,Saint-Joseph,RE,2022-08-11 03:09:32,-21.3667,55.6167,62.98,79,37,13.98,scattered clouds
93,San Patricio,US,2022-08-11 03:12:30,28.017,-97.5169,87.69,66,15,11.25,few clouds
94,Dongying,CN,2022-08-11 03:12:30,37.4564,118.4856,79.57,80,97,5.53,overcast clouds
95,Constitucion,CL,2022-08-11 03:12:30,-35.3333,-72.4167,47.57,84,0,8.08,clear sky
96,Maniitsoq,GL,2022-08-11 03:12:30,65.4167,-52.9,43.07,83,74,7.9,broken clouds
97,Mataura,NZ,2022-08-11 03:12:31,-46.1927,168.8643,44.47,59,31,5.86,scattered clouds
98,Hovd,MN,2022-08-11 03:12:31,48.0056,91.6419,69.24,42,86,4.5,overcast clouds
99,Samarai,PG,2022-08-11 03:12:32,-10.6167,150.6667,79.14,77,97,16.11,overcast clouds
100,Saint-Philippe,RE,2022-08-11 03:12:32,-21.3585,55.7679,63.99,82,73,13.71,light rain
101,Songjianghe,CN,2022-08-11 03:12:32,42.1859,127.479,71.4,58,67,5.08,broken clouds
102,Okha,RU,2022-08-11 03:12:32,53.5739,142.9478,60.31,86,100,11.83,light rain
103,Hobart,AU,2022-08-11 03:08:15,-42.8794,147.3294,56.26,69,0,5.75,clear sky
104,Riyadh,SA,2022-08-11 03:12:05,24.6877,46.7219,95.14,20,66,11.9,broken clouds
105,Esperance,AU,2022-08-11 03:12:33,-33.8667,121.9,58.24,67,83,16.53,broken clouds
106,Pangnirtung,CA,2022-08-11 03:12:33,66.1451,-65.7125,43.14,89,61,0.36,broken clouds
107,Puerto Ayora,EC,2022-08-11 03:12:34,-0.7393,-90.3518,70.56,91,95,5.99,overcast clouds
108,Tual,ID,2022-08-11 03:12:35,-5.6667,132.75,79.88,81,26,14.27,scattered clouds
109,Agadir,MA,2022-08-11 03:12:35,30.4202,-9.5982,68.45,81,0,1.54,clear sky
110,Bluff,NZ,2022-08-11 03:08:11,-46.6,168.3333,44.8,56,8,8.55,clear sky
111,Sept-Iles,CA,2022-08-11 03:12:36,50.2001,-66.3821,60.06,92,14,1.01,few clouds
112,Grootfontein,NA,2022-08-11 03:12:36,-19.5667,18.1167,55.18,17,0,2.13,clear sky
113,Haines Junction,CA,2022-08-11 03:12:36,60.7522,-137.5108,49.15,85,100,2.55,overcast clouds
114,Qaanaaq,GL,2022-08-11 03:12:37,77.484,-69.3632,33.01,68,46,5.77,scattered clouds
115,Narsaq,GL,2022-08-11 03:12:37,60.9167,-46.05,44.82,88,100,8.19,overcast clouds
116,Tiksi,RU,2022-08-11 03:12:38,71.6872,128.8694,53.22,63,100,2.39,overcast clouds
117,Yumen,CN,2022-08-11 03:12:38,40.2833,97.2,84.65,37,47,19.06,scattered clouds
118,Winslow,US,2022-08-11 03:11:37,35.0242,-110.6974,73.58,60,20,4.61,few clouds
119,Chernoistochinsk,RU,2022-08-11 03:12:39,57.7364,59.8719,66.51,75,100,3.36,light rain
120,Yeppoon,AU,2022-08-11 03:12:39,-23.1333,150.7333,69.58,64,56,14.54,broken clouds
121,Rondonopolis,BR,2022-08-11 03:12:40,-16.4708,-54.6356,57.51,51,100,3.51,overcast clouds
122,Krasnogorskoye,RU,2022-08-11 03:12:41,52.2953,86.1979,69.33,73,71,2.91,broken clouds
123,Pevek,RU,2022-08-11 03:12:43,69.7008,170.3133,43.27,91,23,1.68,few clouds
124,Rudnichnyy,RU,2022-08-11 03:12:44,59.617,52.4703,53.51,93,100,9.42,overcast clouds
125,Raudeberg,NO,2022-08-11 03:12:45,61.9875,5.1352,56.07,95,100,24.14,light rain
126,Brae,GB,2022-08-11 03:12:45,60.3964,-1.353,54.21,93,100,11.05,light rain
127,Boyolangu,ID,2022-08-11 03:12:46,-8.1181,111.8935,82.42,73,64,6.85,broken clouds
128,Thompson,CA,2022-08-11 03:12:46,55.7435,-97.8558,57.2,62,1,2.26,clear sky
129,Camacha,PT,2022-08-11 03:09:38,33.0833,-16.3333,67.42,78,20,8.05,few clouds
130,Henties Bay,NA,2022-08-11 03:12:46,-22.116,14.2845,51.58,93,4,2.46,clear sky
131,Zonguldak,TR,2022-08-11 03:12:47,41.25,31.8333,63.45,83,0,6.06,clear sky
132,Palmer,US,2022-08-11 03:12:47,42.1584,-72.3287,71.2,75,40,0.0,scattered clouds
133,Lebu,CL,2022-08-11 03:13:49,-37.6167,-73.65,45.79,86,2,4.07,clear sky
134,Kyshtovka,RU,2022-08-11 03:13:49,56.555,76.6271,67.32,88,52,10.87,broken clouds
135,Oeiras Do Para,BR,2022-08-11 03:13:50,-2.0031,-49.8544,76.68,80,100,4.09,overcast clouds
136,Port Macquarie,AU,2022-08-11 03:13:50,-31.4333,152.9167,63.9,53,100,8.61,overcast clouds
137,Sao Felix Do Xingu,BR,2022-08-11 03:13:08,-6.6447,-51.995,74.07,46,45,0.96,scattered clouds
138,Pokhara,NP,2022-08-11 03:13:51,28.2333,83.9833,81.52,69,99,1.3,overcast clouds
139,Bayir,TR,2022-08-11 03:13:27,37.2687,28.2167,66.72,71,5,4.65,clear sky
140,Belfast,GB,2022-08-11 03:13:51,54.5833,-5.9333,57.02,82,0,3.44,clear sky
141,Geraldton,AU,2022-08-11 03:13:52,-28.7667,114.6,61.21,63,0,11.5,clear sky
142,Roma,US,2022-08-11 03:10:20,43.2128,-75.4557,65.66,91,0,1.01,clear sky
143,Gat,IL,2022-08-11 03:13:37,31.61,34.7642,76.41,100,3,0.65,clear sky
144,Bahia De Caraquez,EC,2022-08-11 03:13:52,-0.6,-80.4167,71.78,85,100,10.25,overcast clouds
145,Yar-Sale,RU,2022-08-11 03:13:53,66.8333,70.8333,57.09,56,30,9.17,scattered clouds
146,Ponta Do Sol,PT,2022-08-11 03:13:54,32.6667,-17.1,70.72,85,22,4.36,few clouds
147,Cayenne,GF,2022-08-11 03:13:55,4.9333,-52.3333,80.1,1,36,7.99,scattered clouds
148,Torbay,CA,2022-08-11 03:13:55,47.6666,-52.7314,58.26,89,100,5.01,overcast clouds
149,Avarua,CK,2022-08-11 03:13:57,-21.2078,-159.775,75.25,73,9,17.27,clear sky
150,Xiongzhou,CN,2022-08-11 03:13:57,25.1167,114.3,87.21,65,96,2.37,overcast clouds
151,Shenjiamen,CN,2022-08-11 03:13:59,29.9576,122.298,84.87,78,26,17.43,scattered clouds
152,Itoman,JP,2022-08-11 03:13:59,26.1247,127.6694,86.77,79,75,6.91,broken clouds
153,Bethel,US,2022-08-11 03:09:36,41.3712,-73.414,73.76,81,0,0.0,clear sky
154,Lundazi,ZM,2022-08-11 03:13:59,-12.2929,33.1782,57.81,60,0,6.24,clear sky
155,Vila Franca Do Campo,PT,2022-08-11 03:14:00,37.7167,-25.4333,71.2,72,96,5.28,overcast clouds
156,Gornopravdinsk,RU,2022-08-11 03:14:00,60.05,69.9,65.93,52,63,5.41,broken clouds
157,Hilo,US,2022-08-11 03:10:19,19.7297,-155.09,89.28,78,20,8.05,few clouds
158,Bambous Virieux,MU,2022-08-11 03:14:01,-20.3428,57.7575,67.21,73,94,18.48,light rain
159,Farsund,NO,2022-08-11 03:14:01,58.0948,6.8047,60.06,100,38,6.49,scattered clouds
160,Polson,US,2022-08-11 03:14:01,47.6936,-114.1632,74.77,72,100,2.68,overcast clouds
161,Cherskiy,RU,2022-08-11 03:14:02,68.75,161.3,69.8,51,10,2.57,clear sky
162,Ashtian,IR,2022-08-11 03:14:02,34.5217,50.0019,68.81,45,4,9.71,clear sky
163,Nambour,AU,2022-08-11 03:14:02,-26.6333,152.95,68.88,72,76,1.99,broken clouds
164,Half Moon Bay,US,2022-08-11 03:14:03,37.4636,-122.4286,72.54,78,20,20.71,few clouds
165,Lucapa,AO,2022-08-11 03:14:03,-8.4192,20.7447,62.06,28,2,5.1,clear sky
166,Pisco,PE,2022-08-11 03:14:04,-13.7,-76.2167,59.05,88,20,4.61,few clouds
167,Filingue,NE,2022-08-11 03:14:04,14.3521,3.3168,85.64,57,21,12.77,few clouds
168,Brokopondo,SR,2022-08-11 03:14:05,4.75,-55.1667,78.78,81,68,7.11,broken clouds
169,Vetapalem,IN,2022-08-11 03:14:05,15.7833,80.3167,84.33,62,42,18.77,scattered clouds
170,Port Keats,AU,2022-08-11 03:14:06,-14.25,129.55,85.55,42,13,7.34,few clouds
171,Keokuk,US,2022-08-11 03:13:11,40.3973,-91.3849,72.09,88,100,0.0,overcast clouds
172,Hasaki,JP,2022-08-11 03:11:59,35.7333,140.8333,91.29,79,30,21.88,scattered clouds
173,Los Llanos De Aridane,ES,2022-08-11 03:12:56,28.6585,-17.9182,67.12,92,20,3.44,few clouds
174,Fuerte Olimpo,PY,2022-08-11 03:14:07,-21.0415,-57.8738,52.47,77,0,5.14,clear sky
175,Cape Town,ZA,2022-08-11 03:12:37,-33.9258,18.4232,56.12,93,99,3.0,overcast clouds
176,Yarega,RU,2022-08-11 03:14:07,63.4354,53.5765,53.53,88,84,4.54,broken clouds
177,Timbiqui,CO,2022-08-11 03:14:08,2.7717,-77.6654,74.1,96,96,4.5,light rain
178,Korla,CN,2022-08-11 03:15:08,41.7597,86.1469,89.78,26,81,15.12,broken clouds
179,Wattegama,LK,2022-08-11 03:15:08,6.7989,81.4808,83.88,52,100,1.74,overcast clouds
180,Tres Lagoas,BR,2022-08-11 03:15:09,-20.7511,-51.6783,52.54,77,0,6.15,clear sky
181,Lorengau,PG,2022-08-11 03:13:24,-2.0226,147.2712,83.98,71,88,4.61,overcast clouds
182,Sumenep,ID,2022-08-11 03:15:10,-7.0167,113.8667,85.51,64,78,8.01,broken clouds
183,Itarema,BR,2022-08-11 03:15:11,-2.9248,-39.9167,76.55,84,89,13.82,overcast clouds
