City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Gazli,UZ,79.0,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
287,Sao Filipe,CV,77.58,broken clouds,14.8961,-24.4956,Hotel Xaguate
301,Cockburn Town,TC,81.79,clear sky,21.4612,-71.1419,Osprey Beach Hotel
306,Wajima,JP,83.55,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
308,Portland,US,75.15,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
309,Chifeng,CN,79.45,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
310,Tucurui,BR,77.65,few clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
311,Sinnamary,GF,78.3,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
312,Savinka,RU,81.23,broken clouds,50.0785,47.0994,
314,Rockport,US,87.85,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
315,Keti Bandar,PK,82.63,overcast clouds,24.1447,67.4497,Haji laloo memon house
318,Lahij,YE,80.76,overcast clouds,13.1667,44.5833,
319,Mapastepec,MX,76.35,overcast clouds,15.4333,-92.9,Hotel San Carlos
321,Tateyama,JP,82.87,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
322,Tracy,US,82.51,clear sky,37.7397,-121.4252,"Holiday Inn Express & Suites Tracy, an IHG Hotel"
330,Fukue,JP,89.96,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
335,Nanning,CN,79.25,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
338,Brigantine,US,77.2,light rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
339,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
340,Marsa Matruh,EG,75.47,clear sky,31.3525,27.2453,Beau Site
341,Batavia,US,75.92,clear sky,41.85,-88.3126,Comfort Inn & Suites Geneva- West Chicago
343,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
344,Mastic Beach,US,75.99,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
346,Bogande,BF,77.43,clear sky,12.9714,-0.1436,Auberge Wendkouni
347,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
349,Katsuura,JP,83.91,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
350,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
356,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
361,Atambua,ID,83.34,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
364,Umm Lajj,SA,87.19,broken clouds,25.0213,37.2685,Moon light Furnished Units
365,Namatanai,PG,83.61,light rain,-3.6667,152.4333,Seagulls Inn Namatani
370,Shingu,JP,87.01,overcast clouds,33.7333,135.9833,Shingu UI Hotel
372,Meulaboh,ID,81.72,overcast clouds,4.1363,96.1285,Kost Pria
378,San Juan Del Sur,NI,78.91,overcast clouds,11.2529,-85.8705,Nuestra Casa
381,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
382,Biltine,TD,78.76,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
383,Conceicao Do Araguaia,BR,76.33,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
384,Mulege,MX,88.34,scattered clouds,26.8833,-111.9833,Casa Granada
385,Auki,SB,82.27,scattered clouds,-8.7676,160.7034,Auki Motel
386,Quang Ngai,VN,83.28,overcast clouds,15.1167,108.8,Central Hotel
387,Sampit,ID,87.17,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
